Cell.Potential (V)	Cell.Current (A)
1.4694	-6.411654E-006
1.468347	-1.086248E-005
1.467569	-0.000008192
1.466306	-1.976413E-005
1.465334	-0.000013533
1.464491	-9.972314E-006
1.463527	-1.264281E-005
1.462312	-5.521489E-006
1.461267	-1.79838E-005
1.460474	-9.972314E-006
1.459599	-1.53133E-005
1.458611	-3.741159E-006
1.457428	-1.175264E-005
1.45631	-1.175264E-005
1.455362	-9.972314E-006
1.454633	-0.000002851
1.45341	-1.442314E-005
1.452551	-0.000018874
1.451442	-9.082149E-006
1.450672	-1.264281E-005
1.449255	-1.175264E-005
1.448412	-0.000013533
1.447448	-0.000008192
1.446549	-1.709363E-005
1.445294	-1.620347E-005
1.444362	-7.301819E-006
1.443479	-9.082149E-006
1.442596	-1.53133E-005
1.441535	-4.631324E-006
1.440352	-1.442314E-005
1.43934	-2.777561E-005
1.438319	-1.264281E-005
1.437655	-1.53133E-005
1.436343	-7.301819E-006
1.435468	-1.620347E-005
1.434455	-1.709363E-005
1.433459	-7.301819E-006
1.432147	-7.301819E-006
1.431231	-9.972314E-006
1.430397	-1.620347E-005
1.429538	-2.688545E-005
1.428251	-3.741159E-006
1.42723	-1.53133E-005
1.426477	-1.709363E-005
1.425521	-1.79838E-005
1.424573	-1.53133E-005
1.423293	-1.620347E-005
1.422483	-1.79838E-005
1.421414	-0.000018874
1.42058	-1.976413E-005
1.419211	-0.000013533
1.418482	-1.442314E-005
1.417453	-0.000008192
1.416465	-1.264281E-005
1.415201	-1.79838E-005
1.414383	-3.741159E-006
1.413378	-1.175264E-005
1.412317	-0.000013533
1.411207	-2.065429E-005
1.410219	-2.332479E-005
1.409466	-0.000008192
1.408316	-1.976413E-005
1.407133	-1.79838E-005
1.406339	-9.972314E-006
1.405424	-2.332479E-005
1.404452	-1.709363E-005
1.403269	-1.709363E-005
1.402232	-1.709363E-005
1.401276	-2.065429E-005
1.400377	-2.332479E-005
1.399583	-0.000018874
1.398182	-2.688545E-005
1.397259	-1.976413E-005
1.396465	-1.79838E-005
1.395444	-1.79838E-005
1.394156	-2.243462E-005
1.393411	-1.709363E-005
1.392293	-2.332479E-005
1.39154	-1.442314E-005
1.390268	-0.000024215
1.389353	-1.53133E-005
1.388462	-1.709363E-005
1.387392	-1.79838E-005
1.386469	-1.79838E-005
1.385384	-2.332479E-005
1.384468	-7.301819E-006
1.383488	-2.154446E-005
1.382524	-0.000024215
1.381317	-1.442314E-005
1.380289	-2.955594E-005
1.379551	-2.243462E-005
1.378563	-2.243462E-005
1.377405	-2.154446E-005
1.376376	-0.000018874
